Commercial_Compound,Training_Compound,Tanimoto_Similarity,Purchase
2,1,0.418086500655308,1
3,1,0.3751668891855808,0
4,1,0.38650306748466257,0
5,1,0.4037089871611983,0
6,1,0.37534626038781166,0
7,1,0.39060205580029367,0
8,1,0.4306864064602961,0
9,1,0.36585365853658536,0
10,1,0.41739130434782606,0
11,1,0.3541383989145183,0
12,1,0.4131994261119082,0
13,1,0.43790849673202614,0
14,1,0.37533875338753386,0
15,1,0.3837981407702523,0
16,1,0.39185750636132316,0
17,1,0.36936936936936937,0
18,1,0.40686922060766184,0
19,1,0.4444444444444444,0
20,1,0.4090909090909091,0
21,1,0.4258312020460358,0
22,1,0.34916201117318435,0
23,1,0.4197183098591549,0
24,1,0.4266666666666667,1
25,1,0.49926578560939794,0
26,1,0.41643835616438357,1
27,1,0.3897058823529412,0
28,1,0.39923954372623577,1
29,1,0.3692509855453351,0
30,1,0.42368045649072755,0
31,1,0.5553914327917282,0
32,1,0.38451443569553806,0
33,1,0.4145408163265306,0
34,1,0.39136690647482014,0
35,1,0.38095238095238093,0
36,1,0.4226110363391655,1
37,1,0.39276139410187666,0
38,1,0.41955445544554454,0
39,1,0.3686382393397524,0
40,1,0.41748942172073344,0
41,1,0.3956043956043956,0
42,1,0.4063745019920319,1
43,1,0.40896739130434784,0
44,1,0.38852672750977835,0
45,1,0.37872340425531914,0
46,1,0.4012422360248447,0
47,1,0.4648729446935725,0
48,1,0.47036082474226804,0
49,1,0.46005154639175255,0
50,1,0.4055619930475087,0
51,1,0.3748211731044349,0
52,1,0.4156010230179028,0
53,1,0.3301282051282051,0
54,1,0.4670750382848392,0
55,1,0.4146341463414634,0
56,1,0.3680104031209363,0
57,1,0.4289732770745429,0
58,1,0.4004884004884005,0
59,1,0.4594594594594595,0
60,1,0.4217335058214748,0
61,1,0.48419540229885055,1
62,1,0.35804020100502515,0
63,1,0.37659033078880405,0
64,1,0.4194977843426883,0
65,1,0.43037974683544306,0
66,1,0.43333333333333335,0
67,1,0.41120218579234974,0
68,1,0.4650837988826816,1
69,1,0.4393358876117497,0
70,1,0.4204993429697766,0
71,1,0.4312039312039312,0
72,1,0.34008683068017365,0
73,1,0.3883040935672515,0
74,1,0.4419431279620853,0
75,1,0.3794037940379404,0
76,1,0.35398230088495575,0
77,1,0.4334705075445816,1
78,1,0.41015625,1
79,1,0.43826322930800543,0
80,1,0.340365682137834,0
81,1,0.43444730077120824,0
82,1,0.32805755395683456,0
83,1,0.4027777777777778,0
84,1,0.42668428005284015,0
85,1,0.3804034582132565,0
86,1,0.4144144144144144,0
87,1,0.43989431968295906,1
88,1,0.37564102564102564,0
89,1,0.381201044386423,0
90,1,0.38636363636363635,0
91,1,0.41051314142678347,0
92,1,0.3745271122320303,0
93,1,0.43103448275862066,0
94,1,0.44182825484764543,1
95,1,0.42735042735042733,0
96,1,0.432,0
97,1,0.34411764705882353,0
98,1,0.49560117302052786,0
